"Country","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Region"
"Afghanistan",99.8,102.3,105.4,108.2,109.3,107.5,106,106.7,106.5,107.9,107.9,107.3,106.620768098599,105,102.90118710069,102.1,105.9,106.6,103.9,"South Asia"
"Albania",68.6,70.5,69.7,70,67.1,66.1,66.1,65.2,63.6,61.9,61.2,60.5,60.0793084359763,58.9,58.7538108104003,59,56.7,56.8,55.9,"Europe & Central Asia"
"Algeria",77.8,75.9,77.8,80.6,81.3,78,78.1,78.7,78.8,79.6,78.3,76.8,75.7850515419177,75.4,74.5751829006657,73.6,72.2,70,68.6,"Middle East & North Africa"
"Angola",88.3,84.9,83.8,85,83.7,84.6,85.1,87.1,87.4,87.9,90.5,91.1,89.4402961206863,87.8,87.3200390265874,89,88.1,86.9,85.6,"Sub-Saharan Africa"
"Antigua and Barbuda",NA,65.7,64.1,62.8,60.9,59.9,58.9,58,59,57.8,56.2,54.8,55.6110407346696,54.4,52.062351853605,54.9,54.2,53.8,51.9,"Latin America & Caribbean"
"Argentina",40.8,41.4,41.4,44.7,45.8,46.8,46.5,46.1,47.3,47.6,48.4,48.2,46.0699225696289,46,46.087950434265,50.1,47.9,46.4,44.2,"Latin America & Caribbean"
"Armenia",71.5,70.3,70.7,74.3,74.1,72.3,72.2,71.3,71.3,69.7,69.6,71,69.5452238194412,66.7,64.2,69.8,67,67.5,68.1,"Europe & Central Asia"
"Australia",22,23.2,24.6,25.9,27.3,28.1,29.2,25.4,26.3,24.3,22.5,22.3,20.7707660020991,19.7,19.7464088575752,21.8,22.7,22,19.6,"East Asia & Pacific"
"Austria",26.1,26,25.9,27.6,27.2,27.3,27.5,26.9,28.5,25.8,27.5,27.7,26.1818803014964,25,24.108703082431,26.1,25.4,24.4,23.1,"Europe & Central Asia"
"Azerbaijan",81.9,81.2,81,84.6,84.4,81.9,79.8,78.2,77.8,77.3,76.3,76.3,74.6303199778674,73.2,71.2821592080687,75.1,73.1,72.7,72.8,"Europe & Central Asia"
"Bahamas, The",NA,60.1,60.5,60.9,58.9,56.5,55.1,54.7,54.1,51.5,51.6,52.4,49.9912418460511,48.8,49.8685935597567,52.4,50.6,49.2,48,"Latin America & Caribbean"
"Bahrain",NA,57,56.8,59,58.8,59,62.2,62.9,64.7,64.4,63.4,64.9,64.3867579471229,63.8,63.8879115350461,66.7,66.6,65.1,64.2,"Middle East & North Africa"
"Bangladesh",96.3,95.9,100.3,98.1,96.1,94.4,92.2,92.5,92.8,91.8,90.7,89.1,90.3128172320538,87.7,85.7,85,84.5,85.2,85.9,"South Asia"
"Barbados",NA,59.9,58.5,57.2,55.4,52.8,52,50.8,51.4,49.3,49,49.6,48.1833293675286,48,46.4072575350091,47,45.9,45.4,44.7,"Latin America & Caribbean"
"Belarus",84.5,85.2,84.4,82.3,78.7,77.6,76.6,76.7,75,75.6,73.9,72.4,70.5407143324833,68.2,65.7518601013251,68,68.7,69.9,68.7,"Europe & Central Asia"
"Belgium",24,25.5,29,33.5,32,34.1,33.5,30.9,32,30.5,29,30.8,29.6536504515784,28.6,27.0981446747844,31,31.9,31.4,30.3,"Europe & Central Asia"
"Belize",NA,69.8,70.2,69.5,68.7,67.7,67.2,67.2,67,65.3,66,65.5,63.7121488853203,62.5,60.7946673818977,64.2,62.1,59.8,57,"Latin America & Caribbean"
"Benin",70.9,72,72.8,75.5,76.8,80,78.6,77.9,78.2,78.8,78.9,77.6,75.6900968993868,73.6,72.5447980853231,72.8,72.5,73.3,72.5,"Sub-Saharan Africa"
"Bhutan",87.9,86.4,85.4,87.3,87.3,85,82.4,81.8,80.9,78.7,77.6,76,74.273984707693,72,69.5090226296471,68.3,67.4,66.4,64.5,"South Asia"
"Bolivia",82.9,82,84.2,86.3,84.9,82.9,82.1,80.8,78.9,78.1,78.5,76.8,75.2233788615017,72.9,74.9668695591217,74.9,73.4,70.7,69.4,"Latin America & Caribbean"
"Bosnia and Herzegovina",88.5,84.5,84.3,83.3,83.5,80.9,77.9,76.5,75.9,77.4,74.6,73,71.3365461376685,71.3,70.2204062229371,72.9,73,72.3,71,"Europe & Central Asia"
"Botswana",66.9,66.4,65.9,68.8,68.6,67.9,66.5,64,64.5,62.8,63.5,63.8,61.9874501434598,59.5,57.0712329698799,57,56.1,55.3,53.6,"Sub-Saharan Africa"
"Brazil",63.1,66.9,67.6,69.1,67.4,65.1,64.1,62.1,61.4,62.7,65.3,68.2,68.7131308082741,71.8,72.9941137258823,75.8,73.9,74.5,70.3,"Latin America & Caribbean"
"Brunei Darussalam",NA,71.2,68.5,68.1,67.6,65.8,64.1,63.2,63.6,63,62,61.6,59.8062395842916,57.5,56.6000275171028,56.3,55.1,54.7,53.9,"East Asia & Pacific"
"Bulgaria",62.1,60.3,58.5,61.5,61.2,59,56.3,55,54.4,55.4,53.7,53.7,51.6542079646911,50.6,49.1716548154357,51.6,51.6,51.8,49.4,"Europe & Central Asia"
"Burkina Faso",89.7,89.7,89.9,91.3,90.7,88.6,87.4,90.2,89,89.2,89.4,88,86.5236375122382,83.9,85.9285230605081,87.1,90.5,94,94.2,"Sub-Saharan Africa"
"Burundi",96.7,95.2,94.1,95.7,96.7,98.6,97.5,97.6,97.1,98,100.7,98.9,97.3642402841854,98.2,97.8760296455767,97.1,95.4,94.2,92.6,"Sub-Saharan Africa"
"Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,61.4,NA,NA,"Sub-Saharan Africa"
"Cambodia",85,85.7,85.8,87.3,88.7,88.5,88.7,88,88.5,87.9,87.4,85.7,84.0488921892736,82.5,80.308381103848,80.6,80.5,80.3,78.6,"East Asia & Pacific"
"Cameroon",88.4,89.4,91.2,95.3,95.4,94.6,93.1,93.5,93.1,94.3,97.8,95.6,95.3121811937865,97,97.855081605719,97.2,96,94,94.3,"Sub-Saharan Africa"
"Canada",23.1,25.1,26.3,27.7,27.9,27.7,26.8,26,27.4,25.6,23.8,22.6,21.5055839383233,20,18.668898507981,21.7,20.1,18.9,18.6,"North America"
"Cabo Verde",NA,81.1,80.7,78.5,77.2,75.8,74.7,73.7,74.1,73.5,71.5,70.1,68,66.6,64.7781708998417,NA,NA,60.1,57.2,"Sub-Saharan Africa"
"Central African Republic",97.5,101,103.7,105.4,106.4,105,103.8,105.3,110.6,111.9,112.1,112.6,111.126344612313,108.9,107.486604672383,107,108.1,105.7,103.9,"Sub-Saharan Africa"
"Chad",105.9,108.8,110.9,112.2,113.3,110.3,107.6,109,108.7,108.4,110.1,109.4,108.311870457479,108.5,106.433820554995,105.8,105.7,104.6,102.7,"Sub-Saharan Africa"
"Chile",32,33.8,36.3,37.5,38,40.7,43.5,42.3,42,41.5,41.9,41.1,40.6910361225853,38.9,42.513526911714,44.1,43.2,42.2,41.1,"Latin America & Caribbean"
"China",82.5,81.2,80.3,84.6,83,80.1,78.3,80.9,79,76.5,74.9,74.7,72.3950412274106,71.1,69.8587878998335,68.9,66.9,65.1,64.4,"East Asia & Pacific"
"Colombia",91.8,89.7,89,89.2,88.2,87,84.4,83.8,83.1,82.5,80.2,78.9,76.6279295805161,75.7,76.6141921556809,79.3,78.4,78.1,75.6,"Latin America & Caribbean"
"Comoros",NA,77.8,79.6,86.3,85.1,83.8,83,84,85.1,83.3,83.8,84.8,82.6227913424785,81.7,81.2490123256269,82.5,82.3,82.2,81.7,"Sub-Saharan Africa"
"Congo, Dem. Rep.",110.1,105.5,106.7,108.7,109.9,108.2,111.2,111.9,110.2,109.7,110,110,110.670364846513,110.2,109.394620954853,108.4,107.3,107.2,106.7,"Sub-Saharan Africa"
"Congo, Rep.",NA,93,93.4,93.1,92.5,91.4,90.1,90,89.6,90.8,92.2,93.4,93.1276298555038,92.5,92.0681997298034,92.4,92.2,90.7,90.2,"Sub-Saharan Africa"
"Costa Rica",49.6,50.5,50.9,52.5,52,50.6,49.7,48.7,48.5,46.8,45.1,44.1,43.2367239400759,42,40.1840178496758,42.5,41,40.4,39.4,"Latin America & Caribbean"
"Cote d'Ivoire",109.2,107.3,104.6,102.5,101.2,102.8,103.6,103.5,101.7,100.1,97.9,96.5,94.5615191697563,92.1,89.7226736914223,90.7,NA,87.1,85.3,"Sub-Saharan Africa"
