filename,path,sha256sum,date
ADB-2025.xlsx,ADB-2025.xlsx,0897f1a5ffbc8b8e4cdcd12010a7ad1b0c285670e2c1a80818300c32d7bcbe10,2025-12-05
AFR-2025.xlsx,AFR-2025.xlsx,66a44549c6f203b3a64b4c6a1047ffc7a899d8509e0f8629a75c36dfe1bfcbd9,2025-12-05
ARB-2025.xlsx,ARB-2025.xlsx,def2a6a5be5fad5c63ecc2e742168546b6cb64ff75e9ccf22abae515b9eb97e1,2025-12-05
ASB-2025.xlsx,ASB-2025.xlsx,4763570f6ed74c34ed2a2b593aeaa0a30b8c4727f6acbb980808ecb49df058a1,2025-12-05
ASD-2025.xlsx,ASD-2025.xlsx,0558d0163221309272bf3c504f50aa8ec1cddbda1f7b9fd85b8d2c06594c67c7,2025-12-05
averaged_commercial_data.dta,averaged_commercial_data.dta,8afba159a9c247388edc3c545ed6843724d3575b5b1dc1c17608b7d0c556b79e,2025-12-05
BPS-2025.xlsx,BPS-2025.xlsx,7e88367b225222304936307be1e845793530627795edc5bfc5875f4662eea5c9,2025-12-05
BTI-2025.xlsx,BTI-2025.xlsx,1b8cb967bba6647b5400b7009f3f0fce3753da2db751f9c3ceb7beec7f69468e,2025-12-05
CCR-2025.xlsx,CCR-2025.xlsx,a09d56d8c41ca302d17f6817eed99e59f9ce27cb61de5f5fb58c756840ca02d4,2025-12-05
EIU.xlsx,Commercial Sources/EIU.xlsx,fdd157bf45b79cb0187381808c5198059391ecd951604e549c7a585d99d3dcdf,2025-12-05
GCS.xlsx,Commercial Sources/GCS.xlsx,234c0851666b160657d1bfb09da064c0f9f484bb00254c77890ca9f8d23e5476,2025-12-05
GWP.xlsx,Commercial Sources/GWP.xlsx,4e3f57c84f4b308f431777ef4ee1fce0bb365a324f3eb4690d424dac842963d8,2025-12-05
PRS.xlsx,Commercial Sources/PRS.xlsx,9ecdbd42f11b8d77b200133d66f943507155a0474535052a7a2815104a1b306c,2025-12-05
WMO.xlsx,Commercial Sources/WMO.xlsx,b25e2b0965e4a0bc768f8916c605ed6c1c846586fa0e57e45949b16ec4ea0188,2025-12-05
countrycodes.dta,countrycodes.dta,ae55f13d005016e948ced50b15e5860d94f9f336f7eecd7c6444b24f36ce1b3c,2025-12-05
data source screening.dta,data source screening.dta,123e1962665acfbfd70b5611cb0641c542caccf568d7444419bd444bbd49ade3,2025-12-05
EBR-2025.xlsx,EBR-2025.xlsx,f08bdc65821b8bdea23738638601fc0ee7ddb2545de051da446f82f60ba32183,2025-12-05
EQI-2025.xlsx,EQI-2025.xlsx,1b80a83189efb171bac0829f14c50024620c04409c1c90ccfe34bbd16df2c81d,2025-12-05
EUB-2025.xlsx,EUB-2025.xlsx,1d49ec4ef4f83225854424308d1de7745c2f2cabf7c1bf1c64e29a78888ed59b,2025-12-05
FRH-2025.xlsx,FRH-2025.xlsx,0ef8eda7f0d02836114dc4c6665cb683d942362a7d1d55812520768cd5718e91,2025-12-05
GCB-2025.xlsx,GCB-2025.xlsx,c4247f6552019b8881d2726a0836b369f5741715b0f6db18260d3bc5ee502d5e,2025-12-05
GII-2025.xlsx,GII-2025.xlsx,281dbb16421762b5a306c515eb7bc79eea47385d452c107a09d1797a51d7a611,2025-12-05
HER-2025.xlsx,HER-2025.xlsx,08d1ae272d08c4febb62bea66f15399c07a16e4521ef876916e14b600fcf6331,2025-12-05
HRM-2025.xlsx,HRM-2025.xlsx,0b23394fc90a5d0774e83bc7e34bfb287ffb63f565bb1c06f2b92200d499d358,2025-12-05
HUM-2025.xlsx,HUM-2025.xlsx,b65476f180c832f5f17168c203d5ab5ae9741c4d29fbd65c5679227803219a32,2025-12-05
IFD-2025.xlsx,IFD-2025.xlsx,3df149508d58650d7f90d651dd84bd0554c8b8b5ccf616a1008e17b25282182d,2025-12-05
IJT-2025.xlsx,IJT-2025.xlsx,d46532044d53b4da0c10a3c7462b26b16cd5f5ead0358f842bdae177f0a94c2b,2025-12-05
IRP-2025.xlsx,IRP-2025.xlsx,9886c38440e9d1596e3bb1c6565cdfda51077b5ceade43040e46fbe6a7e492c6,2025-12-05
LBO-2025.xlsx,LBO-2025.xlsx,82d347297073c24da1d92b175285557e1dea992d38bb4d7fa7003d32151b1d89,2025-12-05
MSI-2025.xlsx,MSI-2025.xlsx,4a2a143f2a8ed04576685c03a7b0e10a8f29e408a7d983c552b212c93a5ce9b7,2025-12-05
OBI-2025.xlsx,OBI-2025.xlsx,706f6ea5c2661cda31ebe3c440eaea8c8f0aa9d41b8b4577f3203edc044972d3,2025-12-05
PIA-2025.xlsx,PIA-2025.xlsx,dbecb757e90ca7842384da933e8d4c2ef4b6e149ca4b86f60ba29b41716205a6,2025-12-05
RSF-2025.xlsx,RSF-2025.xlsx,f8f66ae6d2cff595edea28b6051c7e9a354a34d29e3a221abbdf915338d0ed1f,2025-12-05
VAB-2025.xlsx,VAB-2025.xlsx,4dcf36753ec7c380e8fedc857636903eaf97f51596ba909e8008fc8849db6601,2025-12-05
VDM-2025.xlsx,VDM-2025.xlsx,9b8fca6ba391ef2052fe2f2629d4a7ce1b1c408e7bf901a12a6f6cab771efbc4,2025-12-05
WBS-2025.xlsx,WBS-2025.xlsx,110cdb5c15206bf5b793e8d1be5551dd414326b4037b9c22cb5b586ad3306434,2025-12-05
WCY-2025.xlsx,WCY-2025.xlsx,bcf45848667c3b3e169a5dfee124b532b4ac07944d33a586aead2b6feca74ff8,2025-12-05
WJP-2025.xlsx,WJP-2025.xlsx,127b13d2a6d1b86293b79e42e345471055e6fb45a3714177cf9471ae82c69a09,2025-12-05
